win = 490, tie = 70, loss = 55
win = 491, tie = 70, loss = 55
win = 492, tie = 70, loss = 55
win = 493, tie = 70, loss = 55
win = 494, tie = 70, loss = 55
win = 495, tie = 70, loss = 55
win = 496, tie = 70, loss = 55
win = 497, tie = 70, loss = 55
win = 498, tie = 70, loss = 55
win = 499, tie = 70, loss = 55
win = 500, tie = 70, loss = 55
win = 500, tie = 71, loss = 55
win = 500, tie = 71, loss = 56
win = 500, tie = 72, loss = 56
win = 501, tie = 72, loss = 56
win = 502, tie = 72, loss = 56
win = 503, tie = 72, loss = 56
win = 503, tie = 73, loss = 56
win = 504, tie = 73, loss = 56
win = 504, tie = 74, loss = 56
win = 505, tie = 74, loss = 56
win = 506, tie = 74, loss = 56
win = 507, tie = 74, loss = 56
win = 508, tie = 74, loss = 56
win = 509, tie = 74, loss = 56
win = 509, tie = 74, loss = 57
win = 510, tie = 74, loss = 57
win = 511, tie = 74, loss = 57
win = 512, tie = 74, loss = 57
win = 512, tie = 75, loss = 57
win = 513, tie = 75, loss = 57
win = 513, tie = 75, loss = 58
win = 514, tie = 75, loss = 58
win = 515, tie = 75, loss = 58
win = 516, tie = 75, loss = 58
win = 517, tie = 75, loss = 58
win = 518, tie = 75, loss = 58
win = 519, tie = 75, loss = 58
win = 520, tie = 75, loss = 58
win = 520, tie = 76, loss = 58
win = 520, tie = 77, loss = 58
win = 521, tie = 77, loss = 58
win = 522, tie = 77, loss = 58
win = 523, tie = 77, loss = 58
win = 524, tie = 77, loss = 58
win = 525, tie = 77, loss = 58
win = 526, tie = 77, loss = 58
win = 526, tie = 77, loss = 59
win = 527, tie = 77, loss = 59
win = 528, tie = 77, loss = 59
win = 528, tie = 77, loss = 60
win = 529, tie = 77, loss = 60
win = 529, tie = 78, loss = 60
win = 529, tie = 79, loss = 60
win = 530, tie = 79, loss = 60
win = 531, tie = 79, loss = 60
win = 532, tie = 79, loss = 60
win = 532, tie = 79, loss = 61
win = 533, tie = 79, loss = 61
win = 533, tie = 79, loss = 62
win = 533, tie = 79, loss = 63
win = 534, tie = 79, loss = 63
win = 535, tie = 79, loss = 63
win = 536, tie = 79, loss = 63
win = 537, tie = 79, loss = 63
win = 538, tie = 79, loss = 63
win = 539, tie = 79, loss = 63
win = 540, tie = 79, loss = 63
win = 541, tie = 79, loss = 63
win = 541, tie = 80, loss = 63
